Circle, white, A, black
Circle, white, B, black
Circle, white, C, black
Circle, white, D, black
Circle, white, E, black
Circle, white, F, black
Circle, white, G, black
Circle, white, H, black
Circle, white, I, black
Circle, white, J, black
Circle, white, K, black
Circle, white, L, black
Circle, white, M, black
Circle, white, N, black
Circle, white, O, black
Circle, white, P, black
Circle, white, Q, black
Circle, white, R, black
Circle, white, S, black
Circle, white, T, black
Circle, white, U, black
Circle, white, V, black
Circle, white, W, black
Circle, white, X, black
Circle, white, Y, black
Circle, white, Z, black
Circle, white, 0, black
Circle, white, 1, black
Circle, white, 2, black
Circle, white, 3, black
Circle, white, 4, black
Circle, white, 5, black
Circle, white, 6, black
Circle, white, 7, black
Circle, white, 8, black
Circle, white, 9, black
Circle, white, A, red
Circle, white, B, red
Circle, white, C, red
Circle, white, D, red
Circle, white, E, red
Circle, white, F, red
Circle, white, G, red
Circle, white, H, red
Circle, white, I, red
Circle, white, J, red
Circle, white, K, red
Circle, white, L, red
Circle, white, M, red
Circle, white, N, red
Circle, white, O, red
Circle, white, P, red
Circle, white, Q, red
Circle, white, R, red
Circle, white, S, red
Circle, white, T, red
Circle, white, U, red
Circle, white, V, red
Circle, white, W, red
Circle, white, X, red
Circle, white, Y, red
Circle, white, Z, red
Circle, white, 0, red
Circle, white, 1, red
Circle, white, 2, red
Circle, white, 3, red
Circle, white, 4, red
Circle, white, 5, red
Circle, white, 6, red
Circle, white, 7, red
Circle, white, 8, red
Circle, white, 9, red
Circle, white, A, blue
Circle, white, B, blue
Circle, white, C, blue
Circle, white, D, blue
Circle, white, E, blue
Circle, white, F, blue
Circle, white, G, blue
Circle, white, H, blue
Circle, white, I, blue
Circle, white, J, blue
Circle, white, K, blue
Circle, white, L, blue
Circle, white, M, blue
Circle, white, N, blue
Circle, white, O, blue
Circle, white, P, blue
Circle, white, Q, blue
Circle, white, R, blue
Circle, white, S, blue
Circle, white, T, blue
Circle, white, U, blue
Circle, white, V, blue
Circle, white, W, blue
Circle, white, X, blue
Circle, white, Y, blue
Circle, white, Z, blue
Circle, white, 0, blue
Circle, white, 1, blue
Circle, white, 2, blue
Circle, white, 3, blue
Circle, white, 4, blue
Circle, white, 5, blue
Circle, white, 6, blue
Circle, white, 7, blue
Circle, white, 8, blue
Circle, white, 9, blue
Circle, white, A, green
Circle, white, B, green
Circle, white, C, green
Circle, white, D, green
Circle, white, E, green
Circle, white, F, green
Circle, white, G, green
Circle, white, H, green
Circle, white, I, green
Circle, white, J, green
Circle, white, K, green
Circle, white, L, green
Circle, white, M, green
Circle, white, N, green
Circle, white, O, green
Circle, white, P, green
Circle, white, Q, green
Circle, white, R, green
Circle, white, S, green
Circle, white, T, green
Circle, white, U, green
Circle, white, V, green
Circle, white, W, green
Circle, white, X, green
Circle, white, Y, green
Circle, white, Z, green
Circle, white, 0, green
Circle, white, 1, green
Circle, white, 2, green
Circle, white, 3, green
Circle, white, 4, green
Circle, white, 5, green
Circle, white, 6, green
Circle, white, 7, green
Circle, white, 8, green
Circle, white, 9, green
Circle, white, A, purple
Circle, white, B, purple
Circle, white, C, purple
Circle, white, D, purple
Circle, white, E, purple
Circle, white, F, purple
Circle, white, G, purple
Circle, white, H, purple
Circle, white, I, purple
Circle, white, J, purple
Circle, white, K, purple
Circle, white, L, purple
Circle, white, M, purple
Circle, white, N, purple
Circle, white, O, purple
Circle, white, P, purple
Circle, white, Q, purple
Circle, white, R, purple
Circle, white, S, purple
Circle, white, T, purple
Circle, white, U, purple
Circle, white, V, purple
Circle, white, W, purple
Circle, white, X, purple
Circle, white, Y, purple
Circle, white, Z, purple
Circle, white, 0, purple
Circle, white, 1, purple
Circle, white, 2, purple
Circle, white, 3, purple
Circle, white, 4, purple
Circle, white, 5, purple
Circle, white, 6, purple
Circle, white, 7, purple
Circle, white, 8, purple
Circle, white, 9, purple
Circle, white, A, brown
Circle, white, B, brown
Circle, white, C, brown
Circle, white, D, brown
Circle, white, E, brown
Circle, white, F, brown
Circle, white, G, brown
Circle, white, H, brown
Circle, white, I, brown
Circle, white, J, brown
Circle, white, K, brown
Circle, white, L, brown
Circle, white, M, brown
Circle, white, N, brown
Circle, white, O, brown
Circle, white, P, brown
Circle, white, Q, brown
Circle, white, R, brown
Circle, white, S, brown
Circle, white, T, brown
Circle, white, U, brown
Circle, white, V, brown
Circle, white, W, brown
Circle, white, X, brown
Circle, white, Y, brown
Circle, white, Z, brown
Circle, white, 0, brown
Circle, white, 1, brown
Circle, white, 2, brown
Circle, white, 3, brown
Circle, white, 4, brown
Circle, white, 5, brown
Circle, white, 6, brown
Circle, white, 7, brown
Circle, white, 8, brown
Circle, white, 9, brown
Circle, white, A, orange
Circle, white, B, orange
Circle, white, C, orange
Circle, white, D, orange
Circle, white, E, orange
Circle, white, F, orange
Circle, white, G, orange
Circle, white, H, orange
Circle, white, I, orange
Circle, white, J, orange
Circle, white, K, orange
Circle, white, L, orange
Circle, white, M, orange
Circle, white, N, orange
Circle, white, O, orange
Circle, white, P, orange
Circle, white, Q, orange
Circle, white, R, orange
Circle, white, S, orange
Circle, white, T, orange
Circle, white, U, orange
Circle, white, V, orange
Circle, white, W, orange
Circle, white, X, orange
Circle, white, Y, orange
Circle, white, Z, orange
Circle, white, 0, orange
Circle, white, 1, orange
Circle, white, 2, orange
Circle, white, 3, orange
Circle, white, 4, orange
Circle, white, 5, orange
Circle, white, 6, orange
Circle, white, 7, orange
Circle, white, 8, orange
Circle, white, 9, orange
Circle, black, A, white
Circle, black, B, white
Circle, black, C, white
Circle, black, D, white
Circle, black, E, white
Circle, black, F, white
Circle, black, G, white
Circle, black, H, white
Circle, black, I, white
Circle, black, J, white
Circle, black, K, white
Circle, black, L, white
Circle, black, M, white
Circle, black, N, white
Circle, black, O, white
Circle, black, P, white
Circle, black, Q, white
Circle, black, R, white
Circle, black, S, white
Circle, black, T, white
Circle, black, U, white
Circle, black, V, white
Circle, black, W, white
Circle, black, X, white
Circle, black, Y, white
Circle, black, Z, white
Circle, black, 0, white
Circle, black, 1, white
Circle, black, 2, white
Circle, black, 3, white
Circle, black, 4, white
Circle, black, 5, white
Circle, black, 6, white
Circle, black, 7, white
Circle, black, 8, white
Circle, black, 9, white
Circle, black, A, red
Circle, black, B, red
Circle, black, C, red
Circle, black, D, red
Circle, black, E, red
Circle, black, F, red
Circle, black, G, red
Circle, black, H, red
Circle, black, I, red
Circle, black, J, red
Circle, black, K, red
Circle, black, L, red
Circle, black, M, red
Circle, black, N, red
Circle, black, O, red
Circle, black, P, red
Circle, black, Q, red
Circle, black, R, red
Circle, black, S, red
Circle, black, T, red
Circle, black, U, red
Circle, black, V, red
Circle, black, W, red
Circle, black, X, red
Circle, black, Y, red
Circle, black, Z, red
Circle, black, 0, red
Circle, black, 1, red
Circle, black, 2, red
Circle, black, 3, red
Circle, black, 4, red
Circle, black, 5, red
Circle, black, 6, red
Circle, black, 7, red
Circle, black, 8, red
Circle, black, 9, red
